a,b,theta,A1,A2,phi_r,E,E_p1,E_p2,E_t1,E_t3,machine_type,status,file_name
6.0,8.4,61.5,5,-11,80.0,-51.936329507268965,-0.3921058987034485,-6.841007343376987,-9.312493128702044,-9.422558382852005,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-11_a=6.0_b=8.4_phi_r=80_cx=0_cy=0_cz=0.log
6.0,8.4,61.5,5,-11,80.1,-51.94556645513512,-0.3920368724502623,-6.841735254973173,-9.315731080714611,-9.423280019429512,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-11_a=6.0_b=8.4_phi_r=80.1_cx=0_cy=0_cz=0.log
5.8,8.1,61.5,5,-7,79.1,-51.69029538659379,-0.5289156287908554,-7.246843160828575,-9.04498561588116,-9.024403287796304,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-7_a=5.8_b=8.1_phi_r=79.1_cx=0_cy=0_cz=0.log
5.8,8.1,61.5,5,-7,80.1,-52.00593291618861,-0.5279116126475856,-7.254693310940638,-9.22492410824634,-8.995437426259741,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-7_a=5.8_b=8.1_phi_r=80.1_cx=0_cy=0_cz=0.log
5.8,8.1,61.5,5,-7,80.2,-52.03263974166475,-0.5278049358166754,-7.255521623883396,-9.24076246097684,-8.992230850155465,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-7_a=5.8_b=8.1_phi_r=80.2_cx=0_cy=0_cz=0.log
5.8,8.2,61.5,5,-7,79.1,-52.06956243072637,-0.4842808424727991,-7.246843160828575,-9.1598011207534,-9.143856091308407,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-7_a=5.8_b=8.2_phi_r=79.1_cx=0_cy=0_cz=0.log
5.8,8.2,61.5,5,-7,80.2,-52.3623460449744,-0.4832517257891595,-7.255521623883396,-9.31987892149482,-9.122520751319826,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-7_a=5.8_b=8.2_phi_r=80.2_cx=0_cy=0_cz=0.log
5.8,8.3,61.5,5,-7,79.1,-52.185752182267606,-0.443963325000368,-7.246843160828575,-9.204580234130844,-9.197489371174017,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-7_a=5.8_b=8.3_phi_r=79.1_cx=0_cy=0_cz=0.log
5.8,8.3,61.5,5,-7,80.2,-52.434723049169406,-0.4430095097050071,-7.255521623883396,-9.333571189781653,-9.185259201214649,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-7_a=5.8_b=8.3_phi_r=80.2_cx=0_cy=0_cz=0.log
5.9,8.1,61.5,5,-7,79.1,-52.01493141055107,-0.5289156287908554,-7.088792217080481,-9.213409300078638,-9.17634855932556,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-7_a=5.9_b=8.1_phi_r=79.1_cx=0_cy=0_cz=0.log
5.9,8.1,61.5,5,-7,80.1,-52.29369645216502,-0.5279116126475856,-7.096146634197794,-9.366145233856514,-9.156644745380618,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-7_a=5.9_b=8.1_phi_r=80.1_cx=0_cy=0_cz=0.log
5.9,8.1,61.5,5,-7,80.2,-52.31706492323429,-0.5278049358166754,-7.096912196255289,-9.379448445746675,-9.154366883798502,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-7_a=5.9_b=8.1_phi_r=80.2_cx=0_cy=0_cz=0.log
5.9,8.2,61.5,5,-7,79.1,-52.20054886792786,-0.4842808424727991,-7.088792217080481,-9.277258442249147,-9.249942932161504,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-7_a=5.9_b=8.2_phi_r=79.1_cx=0_cy=0_cz=0.log
5.9,8.2,61.5,5,-7,80.2,-52.45849312772043,-0.4832517257891595,-7.096912196255289,-9.411721285083331,-9.237361356732436,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-7_a=5.9_b=8.2_phi_r=80.2_cx=0_cy=0_cz=0.log
5.9,8.3,61.5,5,-7,79.1,-52.15213019610383,-0.443963325000368,-7.088792217080481,-9.278833492426202,-9.264476063544862,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-7_a=5.9_b=8.3_phi_r=79.1_cx=0_cy=0_cz=0.log
